Table with column headers in rows 3 and 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
"2022 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,40951625,40691315,41211935,12.6,12.5,12.7,11582950,11449881,11716019,16.3,16.1,16.5,8176725,8075849,8277601,15.5,15.3,15.7,74755,74607,74903,3141107,3093587,3188627,17.4,17.1,17.7
01,AL,Alabama,798469,780933,816005,16.2,15.8,16.6,237861,228333,247389,21.8,20.9,22.7,165972,157610,174334,20.6,19.6,21.6,59703,58986,60420,68982,64247,73717,24.4,22.7,26.1
02,AK,Alaska,77305,73349,81261,10.8,10.2,11.4,23113,21077,25149,13.4,12.2,14.6,15001,13231,16771,11.9,10.5,13.3,88072,85702,90442,7304,6283,8325,16.1,13.8,18.4
04,AZ,Arizona,904567,882773,926361,12.5,12.2,12.8,250329,239450,261208,16,15.3,16.7,174580,165530,183630,14.9,14.1,15.7,74355,73441,75269,69229,63677,74781,18,16.6,19.4
05,AR,Arkansas,481650,467218,496082,16.3,15.8,16.8,144789,137611,151967,21.2,20.1,22.3,99080,92896,105264,19.6,18.4,20.8,55505,54535,56475,42721,39225,46217,24.7,22.7,26.7
06,CA,California,4673718,4623575,4723861,12.2,12.1,12.3,1275904,1247003,1304805,15.3,15,15.6,926365,900269,952461,14.8,14.4,15.2,91517,91049,91985,318877,305719,332035,15.4,14.8,16
08,CO,Colorado,542333,527041,557625,9.5,9.2,9.8,133767,125156,142378,11.1,10.4,11.8,95548,87750,103346,10.7,9.8,11.6,89096,87864,90328,34104,30417,37791,11.2,10,12.4
09,CT,Connecticut,345710,333991,357429,9.8,9.5,10.1,89266,83260,95272,12.4,11.6,13.2,62726,57547,67905,11.6,10.6,12.6,88182,86603,89761,23634,20747,26521,13.3,11.7,14.9
10,DE,Delaware,99843,94392,105294,10,9.5,10.5,29390,26791,31989,14.3,13,15.6,20639,18302,22976,13.5,12,15,81933,80111,83755,8269,7146,9392,15.8,13.7,17.9
11,DC,District of Columbia,91474,84632,98316,14.2,13.1,15.3,24651,19928,29374,20,16.2,23.8,17274,12841,21707,20.4,15.2,25.6,99897,97530,102264,6937,5658,8216,18,14.7,21.3
12,FL,Florida,2770789,2731745,2809833,12.7,12.5,12.9,729819,707940,751698,17.3,16.8,17.8,500989,482264,519714,16.1,15.5,16.7,69287,68676,69898,210662,200184,221140,19.6,18.6,20.6
13,GA,Georgia,1372488,1344567,1400409,12.9,12.6,13.2,426470,410329,442611,17.2,16.5,17.9,301323,287032,315614,16.3,15.5,17.1,72742,72108,73376,116766,109205,124327,18.9,17.7,20.1
15,HI,Hawaii,140871,134365,147377,10,9.5,10.5,34939,31345,38533,12.1,10.9,13.3,24567,21302,27832,11.6,10.1,13.1,93683,91582,95784,9487,7965,11009,12.5,10.5,14.5
16,ID,Idaho,198979,190635,207323,10.5,10.1,10.9,56199,51038,61360,12.3,11.2,13.4,38776,34004,43548,11.3,9.9,12.7,72634,71534,73734,15393,13478,17308,14,12.3,15.7
17,IL,Illinois,1465724,1440127,1491321,11.9,11.7,12.1,421492,404897,438087,15.7,15.1,16.3,301563,286460,316666,15.1,14.3,15.9,76744,76165,77323,110094,103258,116930,16.6,15.6,17.6
18,IN,Indiana,827927,808143,847711,12.5,12.2,12.8,238070,225688,250452,15.4,14.6,16.2,161675,150656,172694,14.2,13.2,15.2,66768,66117,67419,70092,64808,75376,17.8,16.5,19.1
19,IA,Iowa,340272,330571,349973,11,10.7,11.3,88115,82631,93599,12.3,11.5,13.1,59879,54974,64784,11.3,10.4,12.2,69708,68834,70582,25341,22915,27767,13.8,12.5,15.1
20,KS,Kansas,340106,329013,351199,11.9,11.5,12.3,92995,87480,98510,13.7,12.9,14.5,63771,58812,68730,12.6,11.6,13.6,68827,67712,69942,26454,24160,28748,15.4,14.1,16.7
21,KY,Kentucky,716293,699775,732811,16.3,15.9,16.7,202846,194221,211471,20.6,19.7,21.5,141105,133611,148599,19.4,18.4,20.4,59246,58340,60152,57460,53557,61363,22.5,21,24
22,LA,Louisiana,832505,815185,849825,18.6,18.2,19,261311,251603,271019,24.9,24,25.8,187532,178813,196251,24.3,23.2,25.4,55458,54669,56247,71123,66847,75399,26,24.4,27.6
23,ME,Maine,146963,140314,153612,10.9,10.4,11.4,29991,27396,32586,12.4,11.3,13.5,20702,18385,23019,11.5,10.2,12.8,69485,68072,70898,7790,6655,8925,13,11.1,14.9
24,MD,Maryland,589754,574244,605264,9.8,9.5,10.1,160856,151114,170598,12.1,11.4,12.8,114007,105410,122604,11.6,10.7,12.5,94957,93906,96008,42494,37820,47168,12.4,11,13.8
25,MA,Massachusetts,700507,682192,718822,10.4,10.1,10.7,153014,144378,161650,11.6,10.9,12.3,113034,105269,120799,11.6,10.8,12.4,94538,93324,95752,36327,32690,39964,10.9,9.8,12
26,MI,Michigan,1306663,1282813,1330513,13.3,13.1,13.5,370055,356756,383354,17.8,17.2,18.4,259517,247762,271272,16.9,16.1,17.7,66926,66259,67593,101027,95047,107007,19.3,18.2,20.4
27,MN,Minnesota,538990,524525,553455,9.6,9.3,9.9,138469,129631,147307,10.9,10.2,11.6,96257,88164,104350,10.2,9.3,11.1,82343,81605,83081,36783,33424,40142,11.4,10.4,12.4
28,MS,Mississippi,545773,532161,559385,19.2,18.7,19.7,175888,168701,183075,26.4,25.3,27.5,129241,122762,135720,26.2,24.9,27.5,52788,51910,53666,45007,42071,47943,26.5,24.8,28.2
29,MO,Missouri,787164,771104,803224,13.1,12.8,13.4,224201,214465,233937,16.8,16.1,17.5,152728,144070,161386,15.5,14.6,16.4,64783,64059,65507,64095,59587,68603,18.8,17.5,20.1
30,MT,Montana,130117,124419,135815,11.8,11.3,12.3,31626,29021,34231,13.8,12.7,14.9,21947,19590,24304,12.9,11.5,14.3,67915,66496,69334,8166,7119,9213,14.4,12.6,16.2
31,NE,Nebraska,213320,204870,221770,11.1,10.7,11.5,63073,58439,67707,13.5,12.5,14.5,43721,39616,47826,12.7,11.5,13.9,69828,68696,70960,17200,15152,19248,14.3,12.6,16
32,NV,Nevada,394516,381007,408025,12.6,12.2,13,111697,105507,117887,16.5,15.6,17.4,78589,72979,84199,15.6,14.5,16.7,72348,71348,73348,30250,27485,33015,17.8,16.2,19.4
33,NH,New Hampshire,100965,95746,106184,7.4,7,7.8,19231,16780,21682,7.7,6.7,8.7,12215,10085,14345,6.6,5.5,7.7,90750,88681,92819,5573,4500,6646,9.1,7.3,10.9
34,NJ,New Jersey,879100,855257,902943,9.7,9.4,10,249908,236158,263658,12.7,12,13.4,178573,166516,190630,12.2,11.4,13,96341,95260,97422,66224,59808,72640,13.1,11.8,14.4
35,NM,New Mexico,358749,348094,369404,17.3,16.8,17.8,103193,97152,109234,22.9,21.6,24.2,77273,71708,82838,22.6,21,24.2,59842,58587,61097,24485,22057,26913,22.9,20.6,25.2
36,NY,New York,2720649,2677454,2763844,14.2,14,14.4,725064,701428,748700,18.6,18,19.2,520705,499053,542357,18.2,17.4,19,79463,78750,80176,188106,179257,196955,18.3,17.4,19.2
37,NC,North Carolina,1335859,1310696,1361022,12.8,12.6,13,390486,377023,403949,17.3,16.7,17.9,274783,262536,287030,16.5,15.8,17.2,67516,66899,68133,107839,102112,113566,18.5,17.5,19.5
38,ND,North Dakota,84207,79609,88805,11.2,10.6,11.8,22003,19862,24144,12.3,11.1,13.5,15230,13315,17145,11.7,10.2,13.2,73240,71320,75160,6119,5179,7059,12.6,10.7,14.5
39,OH,Ohio,1537902,1510878,1564926,13.4,13.2,13.6,445964,430664,461264,17.7,17.1,18.3,312747,299352,326142,16.8,16.1,17.5,65786,65173,66399,122422,115652,129192,19,18,20
40,OK,Oklahoma,608531,596773,620289,15.6,15.3,15.9,184552,177619,191485,19.7,19,20.4,129880,123768,135992,18.7,17.8,19.6,59632,58951,60313,51330,48158,54502,21.8,20.5,23.1
41,OR,Oregon,500100,486802,513398,12,11.7,12.3,111198,104554,117842,13.6,12.8,14.4,76942,70953,82931,12.5,11.5,13.5,75638,74498,76778,29493,26515,32471,14.8,13.3,16.3
42,PA,Pennsylvania,1483039,1455734,1510344,11.8,11.6,12,392438,377192,407684,15.2,14.6,15.8,279251,265672,292830,14.6,13.9,15.3,71789,71236,72342,104690,97644,111736,16,14.9,17.1
44,RI,Rhode Island,117858,111301,124415,11.2,10.6,11.8,28009,25048,30970,14,12.5,15.5,20166,17472,22860,13.6,11.8,15.4,80873,78900,82846,7046,5825,8267,13.7,11.3,16.1
45,SC,South Carolina,719381,702915,735847,14,13.7,14.3,210374,201245,219503,19.2,18.4,20,149973,141999,157947,18.4,17.4,19.4,64227,63535,64919,56636,52352,60920,20.4,18.9,21.9
46,SD,South Dakota,108694,103935,113453,12.4,11.9,12.9,32252,29599,34905,15.1,13.9,16.3,21655,19309,24001,13.9,12.4,15.4,70597,68664,72530,9526,8292,10760,16.7,14.5,18.9
47,TN,Tennessee,920748,898162,943334,13.3,13,13.6,269156,256603,281709,17.8,17,18.6,184826,173606,196046,16.7,15.7,17.7,65231,64399,66063,79048,73542,84554,20,18.6,21.4
48,TX,Texas,4118852,4064284,4173420,14,13.8,14.2,1413051,1378798,1447304,19.2,18.7,19.7,1002891,973170,1032612,18.3,17.8,18.8,72279,71839,72719,389616,373089,406143,20.9,20,21.8
49,UT,Utah,276360,265397,287323,8.3,8,8.6,78357,71528,85186,8.5,7.8,9.2,51908,45723,58093,7.5,6.6,8.4,88531,86848,90214,23728,20862,26594,10.5,9.2,11.8
50,VT,Vermont,63667,59971,67363,10.2,9.6,10.8,12569,11138,14000,11.1,9.8,12.4,8462,7161,9763,9.9,8.4,11.4,74555,72577,76533,3454,2855,4053,12.8,10.6,15
51,VA,Virginia,893559,874160,912958,10.6,10.4,10.8,234609,224993,244225,12.8,12.3,13.3,160033,151932,168134,11.8,11.2,12.4,85838,85086,86590,68787,63621,73953,14.4,13.3,15.5
53,WA,Washington,764405,746613,782197,10,9.8,10.2,185218,175136,195300,11.5,10.9,12.1,132429,123085,141773,11.1,10.3,11.9,91255,90428,92082,45672,41680,49664,11.1,10.1,12.1
54,WV,West Virginia,299275,289448,309102,17.4,16.8,18,78339,73839,82839,22.7,21.4,24,55374,51350,59398,21.5,19.9,23.1,54097,52812,55382,21501,19539,23463,25.3,23,27.6
55,WI,Wisconsin,621380,606478,636282,10.8,10.5,11.1,159967,152100,167834,13,12.4,13.6,111881,104564,119198,12.2,11.4,13,71050,70412,71688,42995,39597,46393,14,12.9,15.1
56,WY,Wyoming,63555,59381,67729,11.2,10.5,11.9,16818,14983,18653,13.2,11.8,14.6,11420,9727,13113,11.8,10.1,13.5,71275,68846,73704,4748,4054,5442,15.6,13.3,17.9
